equipment_event_id,depot_id,loading_position_id,equipment_category,component_name,status,event_timestamp,resolved_timestamp,flow_impact_pct,operational_notes
EQ-000019,nairobi,,SCADA_CONTROL,Emergency Shut-Down Loop,HEALTHY,2026-06-26 10:00:00,,0,Nominal operating telemetry
EQ-000020,nairobi,,GATE_SCALE,Tare Weighbridge Loadcell Platform,HEALTHY,2026-06-27 00:00:00,,0,Nominal operating telemetry
EQ-000021,nairobi,NBO-P05,LOADING_SYSTEM,Hydraulic Gantry Loading Arms,DEGRADED,2026-06-27 18:00:00,2026-06-28 03:00:00,13,Hydraulic Gantry Loading Arms calibration offset detected
EQ-000022,nairobi,,EQUIPMENT_AVAILABILITY,Vapor Recovery Compressor,DEGRADED,2026-06-28 10:00:00,2026-06-28 20:00:00,24,Vapor Recovery Compressor calibration offset detected
EQ-000023,nairobi,,SCADA_CONTROL,OPC-UA Interface Bridge,HEALTHY,2026-06-28 20:00:00,,0,Nominal operating telemetry
EQ-000024,nairobi,,GATE_SCALE,Tare Weighbridge Loadcell Platform,UNAVAILABLE,2026-06-30 00:00:00,2026-06-30 14:00:00,100,Tare Weighbridge Loadcell Platform offline for maintenance
EQ-000025,nairobi,NBO-P03,LOADING_SYSTEM,Hydraulic Gantry Loading Arms,HEALTHY,2026-06-30 15:00:00,,0,Nominal operating telemetry
EQ-000026,nairobi,NBO-P06,LOADING_SYSTEM,Loading Arm Swivel Joint,UNAVAILABLE,2026-07-01 09:00:00,2026-07-01 17:00:00,100,Loading Arm Swivel Joint offline for maintenance
EQ-000027,nairobi,NBO-P08,METERING,Coriolis Mass-Flow Meter,UNAVAILABLE,2026-07-02 13:00:00,2026-07-03 00:00:00,100,Coriolis Mass-Flow Meter offline for maintenance
EQ-000028,nairobi,NBO-P07,LOADING_SYSTEM,Hydraulic Gantry Loading Arms,HEALTHY,2026-07-03 09:00:00,,0,Nominal operating telemetry
EQ-000029,nairobi,,EQUIPMENT_AVAILABILITY,Static Earth Monitoring Reel,UNAVAILABLE,2026-07-04 03:00:00,2026-07-04 13:00:00,100,Static Earth Monitoring Reel offline for maintenance
EQ-000030,nairobi,NBO-P06,LOADING_SYSTEM,Hydraulic Gantry Loading Arms,HEALTHY,2026-07-04 23:00:00,,0,Nominal operating telemetry
EQ-000031,nairobi,NBO-P03,METERING,Flow Meter Temperature RTD,HEALTHY,2026-07-05 15:00:00,,0,Nominal operating telemetry
EQ-000032,nairobi,,GATE_SCALE,Smart RFID Barrier Gate,HEALTHY,2026-07-06 01:00:00,,0,Nominal operating telemetry
EQ-000033,nairobi,,SCADA_CONTROL,Redundant DCS PLC Gateway,DEGRADED,2026-07-06 18:00:00,2026-07-07 01:00:00,21,Redundant DCS PLC Gateway calibration offset detected
EQ-000034,nairobi,,SCADA_CONTROL,Emergency Shut-Down Loop,HEALTHY,2026-07-07 19:00:00,,0,Nominal operating telemetry
EQ-000035,nairobi,,SCADA_CONTROL,Redundant DCS PLC Gateway,HEALTHY,2026-07-08 21:00:00,,0,Nominal operating telemetry
EQ-000036,nairobi,,GATE_SCALE,Tare Weighbridge Loadcell Platform,DEGRADED,2026-07-09 05:00:00,2026-07-09 16:00:00,25,Tare Weighbridge Loadcell Platform calibration offset detected
EQ-000037,nairobi,NBO-P06,METERING,Coriolis Mass-Flow Meter,HEALTHY,2026-07-10 08:00:00,,0,Nominal operating telemetry
EQ-000038,nairobi,,EQUIPMENT_AVAILABILITY,Additive Injection Pump Line,DEGRADED,2026-07-11 07:00:00,2026-07-11 15:00:00,11,Additive Injection Pump Line calibration offset detected
EQ-000039,nairobi,NBO-P06,METERING,Flow Meter Temperature RTD,HEALTHY,2026-07-12 08:00:00,,0,Nominal operating telemetry
EQ-000040,nairobi,,GATE_SCALE,Gross Weighbridge Transducer,HEALTHY,2026-07-13 00:00:00,,0,Nominal operating telemetry
EQ-000041,nairobi,NBO-P01,LOADING_SYSTEM,Hydraulic Gantry Loading Arms,HEALTHY,2026-07-13 08:00:00,,0,Nominal operating telemetry
EQ-000042,nairobi,NBO-P03,LOADING_SYSTEM,Loading Arm Swivel Joint,HEALTHY,2026-07-14 11:00:00,,0,Nominal operating telemetry
EQ-000043,nairobi,NBO-P07,METERING,Digital Batch Controller,DEGRADED,2026-07-15 14:00:00,2026-07-15 23:00:00,21,Digital Batch Controller calibration offset detected
EQ-000044,nairobi,NBO-P02,LOADING_SYSTEM,Hydraulic Gantry Loading Arms,HEALTHY,2026-07-16 03:00:00,,0,Nominal operating telemetry
EQ-000045,nairobi,NBO-P04,LOADING_SYSTEM,Hydraulic Gantry Loading Arms,HEALTHY,2026-07-16 23:00:00,,0,Nominal operating telemetry
EQ-000046,nairobi,NBO-P08,METERING,Digital Batch Controller,DEGRADED,2026-07-17 23:00:00,2026-07-18 10:00:00,16,Digital Batch Controller calibration offset detected
EQ-000047,nairobi,,EQUIPMENT_AVAILABILITY,Static Earth Monitoring Reel,UNAVAILABLE,2026-07-18 13:00:00,2026-07-19 00:00:00,100,Static Earth Monitoring Reel offline for maintenance
EQ-000048,nairobi,NBO-P03,METERING,Digital Batch Controller,HEALTHY,2026-07-19 06:00:00,,0,Nominal operating telemetry
EQ-000049,nairobi,NBO-P04,LOADING_SYSTEM,Loading Arm Swivel Joint,HEALTHY,2026-07-20 08:00:00,,0,Nominal operating telemetry
EQ-000050,nairobi,NBO-P03,LOADING_SYSTEM,Hydraulic Gantry Loading Arms,HEALTHY,2026-07-21 07:00:00,,0,Nominal operating telemetry
EQ-000051,nairobi,NBO-P01,METERING,Digital Batch Controller,HEALTHY,2026-07-22 10:00:00,,0,Nominal operating telemetry
EQ-000052,nairobi,,SCADA_CONTROL,Emergency Shut-Down Loop,HEALTHY,2026-07-23 05:00:00,,0,Nominal operating telemetry
EQ-000053,nairobi,,EQUIPMENT_AVAILABILITY,Vapor Recovery Compressor,HEALTHY,2026-07-24 02:00:00,,0,Nominal operating telemetry
EQ-000054,nairobi,,SCADA_CONTROL,Emergency Shut-Down Loop,HEALTHY,2026-07-24 20:00:00,,0,Nominal operating telemetry
EQ-000055,nairobi,,SCADA_CONTROL,OPC-UA Interface Bridge,HEALTHY,2026-07-25 22:00:00,,0,Nominal operating telemetry
EQ-000056,nairobi,,SCADA_CONTROL,Emergency Shut-Down Loop,HEALTHY,2026-07-26 14:00:00,,0,Nominal operating telemetry
EQ-000057,nairobi,,SCADA_CONTROL,Redundant DCS PLC Gateway,HEALTHY,2026-07-27 05:00:00,,0,Nominal operating telemetry
EQ-000058,nairobi,,EQUIPMENT_AVAILABILITY,Vapor Recovery Compressor,HEALTHY,2026-07-28 09:00:00,,0,Nominal operating telemetry
EQ-000059,nairobi,,EQUIPMENT_AVAILABILITY,Additive Injection Pump Line,HEALTHY,2026-07-28 20:00:00,,0,Nominal operating telemetry
EQ-000060,nairobi,,SCADA_CONTROL,Emergency Shut-Down Loop,HEALTHY,2026-07-29 15:00:00,,0,Nominal operating telemetry
EQ-000061,nairobi,,SCADA_CONTROL,Redundant DCS PLC Gateway,HEALTHY,2026-07-30 13:00:00,,0,Nominal operating telemetry
EQ-000062,nairobi,,SCADA_CONTROL,Redundant DCS PLC Gateway,HEALTHY,2026-07-31 13:00:00,,0,Nominal operating telemetry
EQ-000063,nairobi,,EQUIPMENT_AVAILABILITY,Static Earth Monitoring Reel,UNAVAILABLE,2026-08-01 07:00:00,2026-08-01 13:00:00,100,Static Earth Monitoring Reel offline for maintenance
EQ-000064,nairobi,,EQUIPMENT_AVAILABILITY,Additive Injection Pump Line,DEGRADED,2026-08-02 05:00:00,2026-08-02 09:00:00,21,Additive Injection Pump Line calibration offset detected
EQ-000065,nairobi,,EQUIPMENT_AVAILABILITY,Static Earth Monitoring Reel,HEALTHY,2026-08-02 16:00:00,,0,Nominal operating telemetry
EQ-000066,nairobi,NBO-P03,METERING,Digital Batch Controller,HEALTHY,2026-08-03 17:00:00,,0,Nominal operating telemetry
EQ-000067,nairobi,,SCADA_CONTROL,Emergency Shut-Down Loop,HEALTHY,2026-08-04 21:00:00,,0,Nominal operating telemetry
EQ-000068,nairobi,NBO-P06,LOADING_SYSTEM,Emergency Breakaway Coupler,HEALTHY,2026-08-05 22:00:00,,0,Nominal operating telemetry
EQ-000069,nairobi,,GATE_SCALE,Gross Weighbridge Transducer,HEALTHY,2026-08-06 19:00:00,,0,Nominal operating telemetry
EQ-000070,nairobi,,SCADA_CONTROL,Emergency Shut-Down Loop,HEALTHY,2026-08-07 18:00:00,,0,Nominal operating telemetry
EQ-000071,nairobi,,GATE_SCALE,Gross Weighbridge Transducer,UNAVAILABLE,2026-08-08 14:00:00,2026-08-09 04:00:00,100,Gross Weighbridge Transducer offline for maintenance
EQ-000072,nairobi,NBO-P01,METERING,Flow Meter Temperature RTD,HEALTHY,2026-08-09 01:00:00,,0,Nominal operating telemetry
EQ-000073,nairobi,,SCADA_CONTROL,OPC-UA Interface Bridge,UNAVAILABLE,2026-08-09 19:00:00,2026-08-10 08:00:00,100,OPC-UA Interface Bridge offline for maintenance
EQ-000074,nairobi,NBO-P08,METERING,Coriolis Mass-Flow Meter,HEALTHY,2026-08-10 16:00:00,,0,Nominal operating telemetry
EQ-000075,nairobi,,SCADA_CONTROL,Emergency Shut-Down Loop,HEALTHY,2026-08-11 05:00:00,,0,Nominal operating telemetry
EQ-000076,nairobi,,SCADA_CONTROL,Redundant DCS PLC Gateway,HEALTHY,2026-08-12 05:00:00,,0,Nominal operating telemetry
EQ-000077,nairobi,NBO-P02,LOADING_SYSTEM,Hydraulic Gantry Loading Arms,HEALTHY,2026-08-13 01:00:00,,0,Nominal operating telemetry
EQ-000078,nairobi,NBO-P08,METERING,Flow Meter Temperature RTD,HEALTHY,2026-08-14 03:00:00,,0,Nominal operating telemetry
EQ-000079,nairobi,,SCADA_CONTROL,Redundant DCS PLC Gateway,HEALTHY,2026-08-15 06:00:00,,0,Nominal operating telemetry
EQ-000080,nairobi,NBO-P03,METERING,Digital Batch Controller,HEALTHY,2026-08-16 10:00:00,,0,Nominal operating telemetry
EQ-000081,nairobi,NBO-P04,LOADING_SYSTEM,Emergency Breakaway Coupler,UNAVAILABLE,2026-08-17 14:00:00,2026-08-17 19:00:00,100,Emergency Breakaway Coupler offline for maintenance
EQ-000082,nairobi,,GATE_SCALE,Smart RFID Barrier Gate,HEALTHY,2026-08-18 09:00:00,,0,Nominal operating telemetry
EQ-000083,nairobi,,SCADA_CONTROL,Emergency Shut-Down Loop,HEALTHY,2026-08-18 21:00:00,,0,Nominal operating telemetry
EQ-000084,nairobi,,SCADA_CONTROL,OPC-UA Interface Bridge,HEALTHY,2026-08-19 12:00:00,,0,Nominal operating telemetry
EQ-000085,nairobi,NBO-P02,LOADING_SYSTEM,Emergency Breakaway Coupler,HEALTHY,2026-08-20 02:00:00,,0,Nominal operating telemetry
EQ-000086,nairobi,,EQUIPMENT_AVAILABILITY,Static Earth Monitoring Reel,HEALTHY,2026-08-20 23:00:00,,0,Nominal operating telemetry
EQ-000087,nairobi,NBO-P03,LOADING_SYSTEM,Loading Arm Swivel Joint,HEALTHY,2026-08-21 14:00:00,,0,Nominal operating telemetry
EQ-000088,nairobi,,GATE_SCALE,Smart RFID Barrier Gate,HEALTHY,2026-08-22 18:00:00,,0,Nominal operating telemetry
EQ-000089,nairobi,NBO-P07,LOADING_SYSTEM,Hydraulic Gantry Loading Arms,HEALTHY,2026-08-23 03:00:00,,0,Nominal operating telemetry
EQ-000090,nairobi,NBO-P06,LOADING_SYSTEM,Hydraulic Gantry Loading Arms,HEALTHY,2026-08-24 07:00:00,,0,Nominal operating telemetry
EQ-000091,nairobi,NBO-P06,LOADING_SYSTEM,Hydraulic Gantry Loading Arms,HEALTHY,2026-08-24 15:00:00,,0,Nominal operating telemetry
EQ-000092,nairobi,,EQUIPMENT_AVAILABILITY,Static Earth Monitoring Reel,HEALTHY,2026-08-25 16:00:00,,0,Nominal operating telemetry
EQ-000093,nairobi,NBO-P03,LOADING_SYSTEM,Loading Arm Swivel Joint,HEALTHY,2026-08-26 08:00:00,,0,Nominal operating telemetry
EQ-000094,nairobi,NBO-P04,METERING,Digital Batch Controller,HEALTHY,2026-08-26 16:00:00,,0,Nominal operating telemetry
EQ-000095,nairobi,,EQUIPMENT_AVAILABILITY,Vapor Recovery Compressor,HEALTHY,2026-08-27 20:00:00,,0,Nominal operating telemetry
EQ-000096,nairobi,,SCADA_CONTROL,OPC-UA Interface Bridge,HEALTHY,2026-08-28 19:00:00,,0,Nominal operating telemetry
EQ-000097,nairobi,,SCADA_CONTROL,OPC-UA Interface Bridge,HEALTHY,2026-08-29 17:00:00,,0,Nominal operating telemetry
EQ-000098,nairobi,,SCADA_CONTROL,OPC-UA Interface Bridge,HEALTHY,2026-08-30 21:00:00,,0,Nominal operating telemetry
EQ-000099,nairobi,,EQUIPMENT_AVAILABILITY,Vapor Recovery Compressor,HEALTHY,2026-08-31 16:00:00,,0,Nominal operating telemetry
EQ-000100,nairobi,NBO-P03,METERING,Flow Meter Temperature RTD,HEALTHY,2026-09-01 00:00:00,,0,Nominal operating telemetry
EQ-000101,nairobi,,EQUIPMENT_AVAILABILITY,Additive Injection Pump Line,HEALTHY,2026-09-01 23:00:00,,0,Nominal operating telemetry
EQ-000102,nairobi,,GATE_SCALE,Smart RFID Barrier Gate,HEALTHY,2026-09-03 01:00:00,,0,Nominal operating telemetry
EQ-000103,nairobi,,GATE_SCALE,Gross Weighbridge Transducer,HEALTHY,2026-09-04 05:00:00,,0,Nominal operating telemetry
EQ-000104,nairobi,,SCADA_CONTROL,Redundant DCS PLC Gateway,HEALTHY,2026-09-05 02:00:00,,0,Nominal operating telemetry
EQ-000105,nairobi,NBO-P05,METERING,Flow Meter Temperature RTD,HEALTHY,2026-09-05 17:00:00,,0,Nominal operating telemetry
EQ-000106,nairobi,NBO-P08,LOADING_SYSTEM,Emergency Breakaway Coupler,UNAVAILABLE,2026-09-06 02:00:00,2026-09-06 12:00:00,100,Emergency Breakaway Coupler offline for maintenance
EQ-000107,nairobi,,SCADA_CONTROL,Redundant DCS PLC Gateway,HEALTHY,2026-09-06 12:00:00,,0,Nominal operating telemetry
EQ-000108,nairobi,,EQUIPMENT_AVAILABILITY,Vapor Recovery Compressor,HEALTHY,2026-09-07 09:00:00,,0,Nominal operating telemetry
EQ-000109,nairobi,NBO-P04,METERING,Flow Meter Temperature RTD,UNAVAILABLE,2026-09-07 22:00:00,2026-09-08 03:00:00,100,Flow Meter Temperature RTD offline for maintenance
EQ-000110,nairobi,NBO-P03,METERING,Flow Meter Temperature RTD,HEALTHY,2026-09-08 20:00:00,,0,Nominal operating telemetry
EQ-000111,nairobi,,GATE_SCALE,Tare Weighbridge Loadcell Platform,HEALTHY,2026-09-09 06:00:00,,0,Nominal operating telemetry
EQ-000112,nairobi,,GATE_SCALE,Gross Weighbridge Transducer,UNAVAILABLE,2026-09-10 01:00:00,2026-09-10 07:00:00,100,Gross Weighbridge Transducer offline for maintenance
EQ-000113,nairobi,,SCADA_CONTROL,Redundant DCS PLC Gateway,DEGRADED,2026-09-11 00:00:00,2026-09-11 07:00:00,23,Redundant DCS PLC Gateway calibration offset detected
EQ-000114,nairobi,NBO-P03,LOADING_SYSTEM,Loading Arm Swivel Joint,HEALTHY,2026-09-12 01:00:00,,0,Nominal operating telemetry
EQ-000115,nairobi,,GATE_SCALE,Tare Weighbridge Loadcell Platform,HEALTHY,2026-09-13 03:00:00,,0,Nominal operating telemetry
EQ-000116,nairobi,,SCADA_CONTROL,OPC-UA Interface Bridge,HEALTHY,2026-09-14 04:00:00,,0,Nominal operating telemetry
EQ-000117,nairobi,NBO-P04,METERING,Digital Batch Controller,HEALTHY,2026-09-14 17:00:00,,0,Nominal operating telemetry
EQ-000118,nairobi,,SCADA_CONTROL,Redundant DCS PLC Gateway,HEALTHY,2026-09-15 04:00:00,,0,Nominal operating telemetry
EQ-000119,nairobi,NBO-P04,LOADING_SYSTEM,Emergency Breakaway Coupler,HEALTHY,2026-09-16 06:00:00,,0,Nominal operating telemetry
EQ-000120,mombasa,MBA-P08,METERING,Digital Batch Controller,HEALTHY,2026-06-12 06:00:00,,0,Nominal operating telemetry
EQ-000121,mombasa,,EQUIPMENT_AVAILABILITY,Vapor Recovery Compressor,HEALTHY,2026-06-13 05:00:00,,0,Nominal operating telemetry
EQ-000122,mombasa,,EQUIPMENT_AVAILABILITY,Vapor Recovery Compressor,HEALTHY,2026-06-14 06:00:00,,0,Nominal operating telemetry
EQ-000123,mombasa,,EQUIPMENT_AVAILABILITY,Vapor Recovery Compressor,HEALTHY,2026-06-15 03:00:00,,0,Nominal operating telemetry
EQ-000124,mombasa,,SCADA_CONTROL,Redundant DCS PLC Gateway,HEALTHY,2026-06-15 12:00:00,,0,Nominal operating telemetry
EQ-000125,mombasa,MBA-P04,LOADING_SYSTEM,Hydraulic Gantry Loading Arms,HEALTHY,2026-06-15 22:00:00,,0,Nominal operating telemetry
EQ-000126,mombasa,,SCADA_CONTROL,Redundant DCS PLC Gateway,HEALTHY,2026-06-16 22:00:00,,0,Nominal operating telemetry
EQ-000127,mombasa,,SCADA_CONTROL,Emergency Shut-Down Loop,HEALTHY,2026-06-17 11:00:00,,0,Nominal operating telemetry
EQ-000128,mombasa,,EQUIPMENT_AVAILABILITY,Additive Injection Pump Line,HEALTHY,2026-06-18 05:00:00,,0,Nominal operating telemetry
EQ-000129,mombasa,,EQUIPMENT_AVAILABILITY,Additive Injection Pump Line,DEGRADED,2026-06-18 13:00:00,2026-06-19 00:00:00,16,Additive Injection Pump Line calibration offset detected
EQ-000130,mombasa,,GATE_SCALE,Smart RFID Barrier Gate,HEALTHY,2026-06-19 14:00:00,,0,Nominal operating telemetry
EQ-000131,mombasa,,GATE_SCALE,Tare Weighbridge Loadcell Platform,HEALTHY,2026-06-20 13:00:00,,0,Nominal operating telemetry
EQ-000132,mombasa,,EQUIPMENT_AVAILABILITY,Static Earth Monitoring Reel,HEALTHY,2026-06-21 12:00:00,,0,Nominal operating telemetry
EQ-000133,mombasa,MBA-P02,LOADING_SYSTEM,Hydraulic Gantry Loading Arms,HEALTHY,2026-06-22 06:00:00,,0,Nominal operating telemetry
EQ-000134,mombasa,,EQUIPMENT_AVAILABILITY,Additive Injection Pump Line,UNAVAILABLE,2026-06-23 04:00:00,2026-06-23 07:00:00,100,Additive Injection Pump Line offline for maintenance
EQ-000135,mombasa,,GATE_SCALE,Smart RFID Barrier Gate,UNAVAILABLE,2026-06-23 15:00:00,2026-06-23 21:00:00,100,Smart RFID Barrier Gate offline for maintenance
EQ-000136,mombasa,,GATE_SCALE,Smart RFID Barrier Gate,HEALTHY,2026-06-24 16:00:00,,0,Nominal operating telemetry
EQ-000137,mombasa,MBA-P10,METERING,Coriolis Mass-Flow Meter,HEALTHY,2026-06-25 06:00:00,,0,Nominal operating telemetry
EQ-000138,mombasa,,EQUIPMENT_AVAILABILITY,Vapor Recovery Compressor,HEALTHY,2026-06-25 22:00:00,,0,Nominal operating telemetry
EQ-000139,mombasa,,SCADA_CONTROL,Emergency Shut-Down Loop,HEALTHY,2026-06-26 18:00:00,,0,Nominal operating telemetry
EQ-000140,mombasa,,GATE_SCALE,Tare Weighbridge Loadcell Platform,HEALTHY,2026-06-27 22:00:00,,0,Nominal operating telemetry
EQ-000141,mombasa,,GATE_SCALE,Tare Weighbridge Loadcell Platform,HEALTHY,2026-06-28 07:00:00,,0,Nominal operating telemetry
EQ-000142,mombasa,MBA-P02,LOADING_SYSTEM,Loading Arm Swivel Joint,HEALTHY,2026-06-28 21:00:00,,0,Nominal operating telemetry
EQ-000143,mombasa,MBA-P08,LOADING_SYSTEM,Hydraulic Gantry Loading Arms,HEALTHY,2026-06-29 13:00:00,,0,Nominal operating telemetry
EQ-000144,mombasa,,SCADA_CONTROL,Emergency Shut-Down Loop,HEALTHY,2026-06-30 04:00:00,,0,Nominal operating telemetry
EQ-000145,mombasa,,EQUIPMENT_AVAILABILITY,Vapor Recovery Compressor,HEALTHY,2026-06-30 21:00:00,,0,Nominal operating telemetry
EQ-000146,mombasa,,SCADA_CONTROL,Redundant DCS PLC Gateway,HEALTHY,2026-07-01 16:00:00,,0,Nominal operating telemetry
EQ-000147,mombasa,MBA-P09,METERING,Flow Meter Temperature RTD,HEALTHY,2026-07-02 15:00:00,,0,Nominal operating telemetry
EQ-000148,mombasa,,EQUIPMENT_AVAILABILITY,Vapor Recovery Compressor,HEALTHY,2026-07-03 08:00:00,,0,Nominal operating telemetry
EQ-000149,mombasa,MBA-P08,LOADING_SYSTEM,Loading Arm Swivel Joint,HEALTHY,2026-07-04 01:00:00,,0,Nominal operating telemetry
EQ-000150,mombasa,,GATE_SCALE,Tare Weighbridge Loadcell Platform,HEALTHY,2026-07-04 10:00:00,,0,Nominal operating telemetry
EQ-000151,mombasa,MBA-P07,METERING,Flow Meter Temperature RTD,HEALTHY,2026-07-05 10:00:00,,0,Nominal operating telemetry
EQ-000152,mombasa,MBA-P01,LOADING_SYSTEM,Hydraulic Gantry Loading Arms,HEALTHY,2026-07-05 23:00:00,,0,Nominal operating telemetry
EQ-000153,mombasa,MBA-P08,LOADING_SYSTEM,Loading Arm Swivel Joint,HEALTHY,2026-07-06 12:00:00,,0,Nominal operating telemetry
EQ-000154,mombasa,,EQUIPMENT_AVAILABILITY,Static Earth Monitoring Reel,HEALTHY,2026-07-06 20:00:00,,0,Nominal operating telemetry
EQ-000155,mombasa,,GATE_SCALE,Gross Weighbridge Transducer,HEALTHY,2026-07-07 09:00:00,,0,Nominal operating telemetry
EQ-000156,mombasa,MBA-P03,METERING,Digital Batch Controller,HEALTHY,2026-07-08 03:00:00,,0,Nominal operating telemetry
EQ-000157,mombasa,MBA-P01,METERING,Flow Meter Temperature RTD,HEALTHY,2026-07-08 18:00:00,,0,Nominal operating telemetry
EQ-000158,mombasa,,EQUIPMENT_AVAILABILITY,Additive Injection Pump Line,HEALTHY,2026-07-09 22:00:00,,0,Nominal operating telemetry
EQ-000159,mombasa,MBA-P02,LOADING_SYSTEM,Emergency Breakaway Coupler,HEALTHY,2026-07-10 06:00:00,,0,Nominal operating telemetry
EQ-000160,mombasa,,GATE_SCALE,Tare Weighbridge Loadcell Platform,UNAVAILABLE,2026-07-10 15:00:00,2026-07-11 02:00:00,100,Tare Weighbridge Loadcell Platform offline for maintenance
EQ-000161,mombasa,MBA-P06,METERING,Flow Meter Temperature RTD,HEALTHY,2026-07-11 14:00:00,,0,Nominal operating telemetry
EQ-000162,mombasa,MBA-P03,LOADING_SYSTEM,Hydraulic Gantry Loading Arms,HEALTHY,2026-07-12 09:00:00,,0,Nominal operating telemetry
EQ-000163,mombasa,MBA-P05,LOADING_SYSTEM,Emergency Breakaway Coupler,HEALTHY,2026-07-12 22:00:00,,0,Nominal operating telemetry
EQ-000164,mombasa,MBA-P07,LOADING_SYSTEM,Emergency Breakaway Coupler,HEALTHY,2026-07-13 22:00:00,,0,Nominal operating telemetry
EQ-000165,mombasa,MBA-P02,METERING,Flow Meter Temperature RTD,HEALTHY,2026-07-14 09:00:00,,0,Nominal operating telemetry
EQ-000166,mombasa,MBA-P06,LOADING_SYSTEM,Hydraulic Gantry Loading Arms,DEGRADED,2026-07-15 00:00:00,2026-07-15 07:00:00,10,Hydraulic Gantry Loading Arms calibration offset detected
EQ-000167,mombasa,,EQUIPMENT_AVAILABILITY,Static Earth Monitoring Reel,HEALTHY,2026-07-16 00:00:00,,0,Nominal operating telemetry
EQ-000168,mombasa,,GATE_SCALE,Tare Weighbridge Loadcell Platform,UNAVAILABLE,2026-07-17 04:00:00,2026-07-17 12:00:00,100,Tare Weighbridge Loadcell Platform offline for maintenance
EQ-000169,mombasa,MBA-P09,LOADING_SYSTEM,Emergency Breakaway Coupler,UNAVAILABLE,2026-07-17 22:00:00,2026-07-18 09:00:00,100,Emergency Breakaway Coupler offline for maintenance
EQ-000170,mombasa,MBA-P05,METERING,Flow Meter Temperature RTD,HEALTHY,2026-07-18 23:00:00,,0,Nominal operating telemetry
EQ-000171,mombasa,MBA-P06,LOADING_SYSTEM,Loading Arm Swivel Joint,HEALTHY,2026-07-19 08:00:00,,0,Nominal operating telemetry
EQ-000172,mombasa,,EQUIPMENT_AVAILABILITY,Static Earth Monitoring Reel,DEGRADED,2026-07-20 05:00:00,2026-07-20 09:00:00,22,Static Earth Monitoring Reel calibration offset detected
EQ-000173,mombasa,,EQUIPMENT_AVAILABILITY,Static Earth Monitoring Reel,HEALTHY,2026-07-20 13:00:00,,0,Nominal operating telemetry
EQ-000174,mombasa,MBA-P09,LOADING_SYSTEM,Loading Arm Swivel Joint,HEALTHY,2026-07-20 22:00:00,,0,Nominal operating telemetry
