stage_id,decision_id,stage_sequence,stage_name,stage_timestamp,stage_status,metric_label,metric_value,payload_summary
STG-DEC-00005-04,DEC-00005,4,OPTIMIZE,2026-06-14 13:00:16,COMPLETED,Candidate Ranking,OPT-03 selected (Score 92/100),Evaluated candidate options for -29m recovery
STG-DEC-00005-05,DEC-00005,5,DECIDE,2026-06-14 13:00:22,COMPLETED,L2_AUTO_EXECUTABLE Policy Check,Status: EXECUTED,Autonomy rule evaluation completed
STG-DEC-00005-06,DEC-00005,6,EXECUTE,2026-06-14 13:00:24,COMPLETED,Actuation Dispatch,Actuation command routed,Control payload delivered to terminal gateway
STG-DEC-00005-07,DEC-00005,7,VERIFY,2026-06-14 13:45:22,COMPLETED,Closed-Loop Recovery,Observed dwell delta reduction,Field telemetry feedback verified
STG-DEC-00005-08,DEC-00005,8,LOG,2026-06-14 13:45:29,COMPLETED,Audit Record Sealed,SHA-256 Digest Confirmed,Tamper-evident record sealed to immutable operational audit store
STG-DEC-00006-01,DEC-00006,1,SIGNAL,2026-06-14 21:00:17,COMPLETED,Trigger Received,Demand surge at PS10,Telemetry ingested from Smart Gate and SCADA DCS
STG-DEC-00006-02,DEC-00006,2,PREDICT,2026-06-14 21:00:26,COMPLETED,Predicted Dwell Blowout,71m turnaround (+6m above baseline SLA),Forecasted queue blowout with 91% confidence
STG-DEC-00006-03,DEC-00006,3,DIAGNOSE,2026-06-14 21:00:32,COMPLETED,Causal Attribution,Flow Meter Temperature Sensor Drift,Bottleneck identified at PS10
STG-DEC-00006-04,DEC-00006,4,OPTIMIZE,2026-06-14 21:00:38,COMPLETED,Candidate Ranking,OPT-03 selected (Score 92/100),Evaluated candidate options for -4m recovery
STG-DEC-00006-05,DEC-00006,5,DECIDE,2026-06-14 21:00:44,BLOCKED,L1_ADVISORY Policy Check,Status: BLOCKED_BY_POLICY,Autonomy rule evaluation completed
STG-DEC-00006-06,DEC-00006,6,EXECUTE,2026-06-14 21:00:46,SKIPPED,Actuation Dispatch,Actuation command routed,Control payload delivered to terminal gateway
STG-DEC-00006-07,DEC-00006,7,VERIFY,2026-06-14 21:45:44,SKIPPED,Closed-Loop Recovery,Observed dwell delta reduction,Field telemetry feedback verified
STG-DEC-00006-08,DEC-00006,8,LOG,2026-06-14 21:45:51,COMPLETED,Audit Record Sealed,SHA-256 Digest Confirmed,Tamper-evident record sealed to immutable operational audit store
STG-DEC-00007-01,DEC-00007,1,SIGNAL,2026-06-15 05:59:50,COMPLETED,Trigger Received,Demand surge at PS27,Telemetry ingested from Smart Gate and SCADA DCS
STG-DEC-00007-02,DEC-00007,2,PREDICT,2026-06-15 05:59:59,COMPLETED,Predicted Dwell Blowout,93m turnaround (+43m above baseline SLA),Forecasted queue blowout with 91% confidence
STG-DEC-00007-03,DEC-00007,3,DIAGNOSE,2026-06-15 06:00:05,COMPLETED,Causal Attribution,Loading Position Offline for Maintenance,Bottleneck identified at PS27
STG-DEC-00007-04,DEC-00007,4,OPTIMIZE,2026-06-15 06:00:11,COMPLETED,Candidate Ranking,OPT-03 selected (Score 92/100),Evaluated candidate options for -32m recovery
STG-DEC-00007-05,DEC-00007,5,DECIDE,2026-06-15 06:00:17,COMPLETED,L2_AUTO_EXECUTABLE Policy Check,Status: EXECUTED,Autonomy rule evaluation completed
STG-DEC-00007-06,DEC-00007,6,EXECUTE,2026-06-15 06:00:19,COMPLETED,Actuation Dispatch,Actuation command routed,Control payload delivered to terminal gateway
STG-DEC-00007-07,DEC-00007,7,VERIFY,2026-06-15 06:45:17,COMPLETED,Closed-Loop Recovery,Observed dwell delta reduction,Field telemetry feedback verified
STG-DEC-00007-08,DEC-00007,8,LOG,2026-06-15 06:45:24,COMPLETED,Audit Record Sealed,SHA-256 Digest Confirmed,Tamper-evident record sealed to immutable operational audit store
STG-DEC-00008-01,DEC-00008,1,SIGNAL,2026-06-15 09:59:51,COMPLETED,Trigger Received,Demand surge at KOT-PS1,Telemetry ingested from Smart Gate and SCADA DCS
STG-DEC-00008-02,DEC-00008,2,PREDICT,2026-06-15 10:00:00,COMPLETED,Predicted Dwell Blowout,89m turnaround (+17m above baseline SLA),Forecasted queue blowout with 91% confidence
STG-DEC-00008-03,DEC-00008,3,DIAGNOSE,2026-06-15 10:00:06,COMPLETED,Causal Attribution,Loading Position Offline for Maintenance,Bottleneck identified at KOT-PS1
STG-DEC-00008-04,DEC-00008,4,OPTIMIZE,2026-06-15 10:00:12,COMPLETED,Candidate Ranking,OPT-03 selected (Score 92/100),Evaluated candidate options for -12m recovery
STG-DEC-00008-05,DEC-00008,5,DECIDE,2026-06-15 10:00:18,COMPLETED,L2_AUTO_EXECUTABLE Policy Check,Status: EXECUTED,Autonomy rule evaluation completed
STG-DEC-00008-06,DEC-00008,6,EXECUTE,2026-06-15 10:00:20,COMPLETED,Actuation Dispatch,Actuation command routed,Control payload delivered to terminal gateway
STG-DEC-00008-07,DEC-00008,7,VERIFY,2026-06-15 10:45:18,COMPLETED,Closed-Loop Recovery,Observed dwell delta reduction,Field telemetry feedback verified
STG-DEC-00008-08,DEC-00008,8,LOG,2026-06-15 10:45:25,COMPLETED,Audit Record Sealed,SHA-256 Digest Confirmed,Tamper-evident record sealed to immutable operational audit store
STG-DEC-00009-01,DEC-00009,1,SIGNAL,2026-06-15 16:00:12,COMPLETED,Trigger Received,Demand surge at PS10,Telemetry ingested from Smart Gate and SCADA DCS
STG-DEC-00009-02,DEC-00009,2,PREDICT,2026-06-15 16:00:21,COMPLETED,Predicted Dwell Blowout,84m turnaround (+19m above baseline SLA),Forecasted queue blowout with 91% confidence
STG-DEC-00009-03,DEC-00009,3,DIAGNOSE,2026-06-15 16:00:27,COMPLETED,Causal Attribution,Tank Recertification Hold,Bottleneck identified at PS10
STG-DEC-00009-04,DEC-00009,4,OPTIMIZE,2026-06-15 16:00:33,COMPLETED,Candidate Ranking,OPT-03 selected (Score 92/100),Evaluated candidate options for -14m recovery
STG-DEC-00009-05,DEC-00009,5,DECIDE,2026-06-15 16:00:39,COMPLETED,L2_AUTO_EXECUTABLE Policy Check,Status: EXECUTED,Autonomy rule evaluation completed
STG-DEC-00009-06,DEC-00009,6,EXECUTE,2026-06-15 16:00:41,COMPLETED,Actuation Dispatch,Actuation command routed,Control payload delivered to terminal gateway
STG-DEC-00009-07,DEC-00009,7,VERIFY,2026-06-15 16:45:39,COMPLETED,Closed-Loop Recovery,Observed dwell delta reduction,Field telemetry feedback verified
STG-DEC-00009-08,DEC-00009,8,LOG,2026-06-15 16:45:46,COMPLETED,Audit Record Sealed,SHA-256 Digest Confirmed,Tamper-evident record sealed to immutable operational audit store
STG-DEC-00010-01,DEC-00010,1,SIGNAL,2026-06-16 07:00:14,COMPLETED,Trigger Received,Demand surge at KOT-PS1,Telemetry ingested from Smart Gate and SCADA DCS
STG-DEC-00010-02,DEC-00010,2,PREDICT,2026-06-16 07:00:23,COMPLETED,Predicted Dwell Blowout,85m turnaround (+13m above baseline SLA),Forecasted queue blowout with 91% confidence
STG-DEC-00010-03,DEC-00010,3,DIAGNOSE,2026-06-16 07:00:29,COMPLETED,Causal Attribution,Morning Peak Arrival Surge,Bottleneck identified at KOT-PS1
STG-DEC-00010-04,DEC-00010,4,OPTIMIZE,2026-06-16 07:00:35,COMPLETED,Candidate Ranking,OPT-03 selected (Score 92/100),Evaluated candidate options for -9m recovery
STG-DEC-00010-05,DEC-00010,5,DECIDE,2026-06-16 07:00:41,COMPLETED,L1_ADVISORY Policy Check,Status: ADVISORY_POSTED,Autonomy rule evaluation completed
STG-DEC-00010-06,DEC-00010,6,EXECUTE,2026-06-16 07:00:43,SKIPPED,Actuation Dispatch,Actuation command routed,Control payload delivered to terminal gateway
STG-DEC-00010-07,DEC-00010,7,VERIFY,2026-06-16 07:45:41,SKIPPED,Closed-Loop Recovery,Observed dwell delta reduction,Field telemetry feedback verified
STG-DEC-00010-08,DEC-00010,8,LOG,2026-06-16 07:45:48,COMPLETED,Audit Record Sealed,SHA-256 Digest Confirmed,Tamper-evident record sealed to immutable operational audit store
STG-DEC-00011-01,DEC-00011,1,SIGNAL,2026-06-16 11:59:59,COMPLETED,Trigger Received,Demand surge at PS10,Telemetry ingested from Smart Gate and SCADA DCS
STG-DEC-00011-02,DEC-00011,2,PREDICT,2026-06-16 12:00:08,COMPLETED,Predicted Dwell Blowout,106m turnaround (+41m above baseline SLA),Forecasted queue blowout with 91% confidence
STG-DEC-00011-03,DEC-00011,3,DIAGNOSE,2026-06-16 12:00:14,COMPLETED,Causal Attribution,Gantry Queue Congestion + Slow Metering,Bottleneck identified at PS10
STG-DEC-00011-04,DEC-00011,4,OPTIMIZE,2026-06-16 12:00:20,COMPLETED,Candidate Ranking,OPT-03 selected (Score 92/100),Evaluated candidate options for -30m recovery
STG-DEC-00011-05,DEC-00011,5,DECIDE,2026-06-16 12:00:26,COMPLETED,L2_AUTO_EXECUTABLE Policy Check,Status: EXECUTED,Autonomy rule evaluation completed
STG-DEC-00011-06,DEC-00011,6,EXECUTE,2026-06-16 12:00:28,COMPLETED,Actuation Dispatch,Actuation command routed,Control payload delivered to terminal gateway
STG-DEC-00011-07,DEC-00011,7,VERIFY,2026-06-16 12:45:26,COMPLETED,Closed-Loop Recovery,Observed dwell delta reduction,Field telemetry feedback verified
STG-DEC-00011-08,DEC-00011,8,LOG,2026-06-16 12:45:33,COMPLETED,Audit Record Sealed,SHA-256 Digest Confirmed,Tamper-evident record sealed to immutable operational audit store
STG-DEC-00012-01,DEC-00012,1,SIGNAL,2026-06-16 19:59:50,COMPLETED,Trigger Received,Demand surge at PS10,Telemetry ingested from Smart Gate and SCADA DCS
STG-DEC-00012-02,DEC-00012,2,PREDICT,2026-06-16 19:59:59,COMPLETED,Predicted Dwell Blowout,83m turnaround (+18m above baseline SLA),Forecasted queue blowout with 91% confidence
STG-DEC-00012-03,DEC-00012,3,DIAGNOSE,2026-06-16 20:00:05,COMPLETED,Causal Attribution,Morning Peak Arrival Surge,Bottleneck identified at PS10
STG-DEC-00012-04,DEC-00012,4,OPTIMIZE,2026-06-16 20:00:11,COMPLETED,Candidate Ranking,OPT-03 selected (Score 92/100),Evaluated candidate options for -13m recovery
STG-DEC-00012-05,DEC-00012,5,DECIDE,2026-06-16 20:00:17,COMPLETED,L3_APPROVAL_REQUIRED Policy Check,Status: APPROVED,Autonomy rule evaluation completed
STG-DEC-00012-06,DEC-00012,6,EXECUTE,2026-06-16 20:00:19,COMPLETED,Actuation Dispatch,Actuation command routed,Control payload delivered to terminal gateway
STG-DEC-00012-07,DEC-00012,7,VERIFY,2026-06-16 20:45:17,COMPLETED,Closed-Loop Recovery,Observed dwell delta reduction,Field telemetry feedback verified
STG-DEC-00012-08,DEC-00012,8,LOG,2026-06-16 20:45:24,COMPLETED,Audit Record Sealed,SHA-256 Digest Confirmed,Tamper-evident record sealed to immutable operational audit store
STG-DEC-00013-01,DEC-00013,1,SIGNAL,2026-06-17 13:59:57,COMPLETED,Trigger Received,Demand surge at KOT-PS1,Telemetry ingested from Smart Gate and SCADA DCS
STG-DEC-00013-02,DEC-00013,2,PREDICT,2026-06-17 14:00:06,COMPLETED,Predicted Dwell Blowout,86m turnaround (+14m above baseline SLA),Forecasted queue blowout with 91% confidence
STG-DEC-00013-03,DEC-00013,3,DIAGNOSE,2026-06-17 14:00:12,COMPLETED,Causal Attribution,Gantry Queue Congestion + Slow Metering,Bottleneck identified at KOT-PS1
STG-DEC-00013-04,DEC-00013,4,OPTIMIZE,2026-06-17 14:00:18,COMPLETED,Candidate Ranking,OPT-03 selected (Score 92/100),Evaluated candidate options for -10m recovery
STG-DEC-00013-05,DEC-00013,5,DECIDE,2026-06-17 14:00:24,COMPLETED,L1_ADVISORY Policy Check,Status: ADVISORY_POSTED,Autonomy rule evaluation completed
STG-DEC-00013-06,DEC-00013,6,EXECUTE,2026-06-17 14:00:26,SKIPPED,Actuation Dispatch,Actuation command routed,Control payload delivered to terminal gateway
STG-DEC-00013-07,DEC-00013,7,VERIFY,2026-06-17 14:45:24,SKIPPED,Closed-Loop Recovery,Observed dwell delta reduction,Field telemetry feedback verified
STG-DEC-00013-08,DEC-00013,8,LOG,2026-06-17 14:45:31,COMPLETED,Audit Record Sealed,SHA-256 Digest Confirmed,Tamper-evident record sealed to immutable operational audit store
STG-DEC-00014-01,DEC-00014,1,SIGNAL,2026-06-18 00:00:09,COMPLETED,Trigger Received,Demand surge at PS27,Telemetry ingested from Smart Gate and SCADA DCS
STG-DEC-00014-02,DEC-00014,2,PREDICT,2026-06-18 00:00:18,COMPLETED,Predicted Dwell Blowout,94m turnaround (+44m above baseline SLA),Forecasted queue blowout with 91% confidence
STG-DEC-00014-03,DEC-00014,3,DIAGNOSE,2026-06-18 00:00:24,COMPLETED,Causal Attribution,Loading Position Offline for Maintenance,Bottleneck identified at PS27
STG-DEC-00014-04,DEC-00014,4,OPTIMIZE,2026-06-18 00:00:30,COMPLETED,Candidate Ranking,OPT-03 selected (Score 92/100),Evaluated candidate options for -33m recovery
STG-DEC-00014-05,DEC-00014,5,DECIDE,2026-06-18 00:00:36,COMPLETED,L2_AUTO_EXECUTABLE Policy Check,Status: EXECUTED,Autonomy rule evaluation completed
STG-DEC-00014-06,DEC-00014,6,EXECUTE,2026-06-18 00:00:38,COMPLETED,Actuation Dispatch,Actuation command routed,Control payload delivered to terminal gateway
STG-DEC-00014-07,DEC-00014,7,VERIFY,2026-06-18 00:45:36,COMPLETED,Closed-Loop Recovery,Observed dwell delta reduction,Field telemetry feedback verified
STG-DEC-00014-08,DEC-00014,8,LOG,2026-06-18 00:45:43,COMPLETED,Audit Record Sealed,SHA-256 Digest Confirmed,Tamper-evident record sealed to immutable operational audit store
STG-DEC-00015-01,DEC-00015,1,SIGNAL,2026-06-18 12:00:10,COMPLETED,Trigger Received,Demand surge at KOT-PS1,Telemetry ingested from Smart Gate and SCADA DCS
STG-DEC-00015-02,DEC-00015,2,PREDICT,2026-06-18 12:00:19,COMPLETED,Predicted Dwell Blowout,113m turnaround (+41m above baseline SLA),Forecasted queue blowout with 91% confidence
STG-DEC-00015-03,DEC-00015,3,DIAGNOSE,2026-06-18 12:00:25,COMPLETED,Causal Attribution,Gantry Queue Congestion + Slow Metering,Bottleneck identified at KOT-PS1
STG-DEC-00015-04,DEC-00015,4,OPTIMIZE,2026-06-18 12:00:31,COMPLETED,Candidate Ranking,OPT-03 selected (Score 92/100),Evaluated candidate options for -30m recovery
STG-DEC-00015-05,DEC-00015,5,DECIDE,2026-06-18 12:00:37,COMPLETED,L2_AUTO_EXECUTABLE Policy Check,Status: EXECUTED,Autonomy rule evaluation completed
STG-DEC-00015-06,DEC-00015,6,EXECUTE,2026-06-18 12:00:39,COMPLETED,Actuation Dispatch,Actuation command routed,Control payload delivered to terminal gateway
STG-DEC-00015-07,DEC-00015,7,VERIFY,2026-06-18 12:45:37,COMPLETED,Closed-Loop Recovery,Observed dwell delta reduction,Field telemetry feedback verified
STG-DEC-00015-08,DEC-00015,8,LOG,2026-06-18 12:45:44,COMPLETED,Audit Record Sealed,SHA-256 Digest Confirmed,Tamper-evident record sealed to immutable operational audit store
STG-DEC-00016-01,DEC-00016,1,SIGNAL,2026-06-18 23:59:55,COMPLETED,Trigger Received,Demand surge at PS28,Telemetry ingested from Smart Gate and SCADA DCS
STG-DEC-00016-02,DEC-00016,2,PREDICT,2026-06-19 00:00:04,COMPLETED,Predicted Dwell Blowout,64m turnaround (+19m above baseline SLA),Forecasted queue blowout with 91% confidence
STG-DEC-00016-03,DEC-00016,3,DIAGNOSE,2026-06-19 00:00:10,COMPLETED,Causal Attribution,Gantry Queue Congestion + Slow Metering,Bottleneck identified at PS28
STG-DEC-00016-04,DEC-00016,4,OPTIMIZE,2026-06-19 00:00:16,COMPLETED,Candidate Ranking,OPT-03 selected (Score 92/100),Evaluated candidate options for -14m recovery
STG-DEC-00016-05,DEC-00016,5,DECIDE,2026-06-19 00:00:22,COMPLETED,L2_AUTO_EXECUTABLE Policy Check,Status: EXECUTED,Autonomy rule evaluation completed
STG-DEC-00016-06,DEC-00016,6,EXECUTE,2026-06-19 00:00:24,COMPLETED,Actuation Dispatch,Actuation command routed,Control payload delivered to terminal gateway
STG-DEC-00016-07,DEC-00016,7,VERIFY,2026-06-19 00:45:22,COMPLETED,Closed-Loop Recovery,Observed dwell delta reduction,Field telemetry feedback verified
STG-DEC-00016-08,DEC-00016,8,LOG,2026-06-19 00:45:29,COMPLETED,Audit Record Sealed,SHA-256 Digest Confirmed,Tamper-evident record sealed to immutable operational audit store
STG-DEC-00017-01,DEC-00017,1,SIGNAL,2026-06-19 11:00:16,COMPLETED,Trigger Received,Demand surge at PS10,Telemetry ingested from Smart Gate and SCADA DCS
STG-DEC-00017-02,DEC-00017,2,PREDICT,2026-06-19 11:00:25,COMPLETED,Predicted Dwell Blowout,71m turnaround (+6m above baseline SLA),Forecasted queue blowout with 91% confidence
STG-DEC-00017-03,DEC-00017,3,DIAGNOSE,2026-06-19 11:00:31,COMPLETED,Causal Attribution,Loading Position Offline for Maintenance,Bottleneck identified at PS10
STG-DEC-00017-04,DEC-00017,4,OPTIMIZE,2026-06-19 11:00:37,COMPLETED,Candidate Ranking,OPT-03 selected (Score 92/100),Evaluated candidate options for -4m recovery
STG-DEC-00017-05,DEC-00017,5,DECIDE,2026-06-19 11:00:43,BLOCKED,L1_ADVISORY Policy Check,Status: BLOCKED_BY_POLICY,Autonomy rule evaluation completed
STG-DEC-00017-06,DEC-00017,6,EXECUTE,2026-06-19 11:00:45,SKIPPED,Actuation Dispatch,Actuation command routed,Control payload delivered to terminal gateway
STG-DEC-00017-07,DEC-00017,7,VERIFY,2026-06-19 11:45:43,SKIPPED,Closed-Loop Recovery,Observed dwell delta reduction,Field telemetry feedback verified
STG-DEC-00017-08,DEC-00017,8,LOG,2026-06-19 11:45:50,COMPLETED,Audit Record Sealed,SHA-256 Digest Confirmed,Tamper-evident record sealed to immutable operational audit store
STG-DEC-00018-01,DEC-00018,1,SIGNAL,2026-06-20 00:00:09,COMPLETED,Trigger Received,Demand surge at PS25,Telemetry ingested from Smart Gate and SCADA DCS
STG-DEC-00018-02,DEC-00018,2,PREDICT,2026-06-20 00:00:18,COMPLETED,Predicted Dwell Blowout,74m turnaround (+16m above baseline SLA),Forecasted queue blowout with 91% confidence
STG-DEC-00018-03,DEC-00018,3,DIAGNOSE,2026-06-20 00:00:24,COMPLETED,Causal Attribution,Tank Recertification Hold,Bottleneck identified at PS25
STG-DEC-00018-04,DEC-00018,4,OPTIMIZE,2026-06-20 00:00:30,COMPLETED,Candidate Ranking,OPT-03 selected (Score 92/100),Evaluated candidate options for -12m recovery
STG-DEC-00018-05,DEC-00018,5,DECIDE,2026-06-20 00:00:36,COMPLETED,L1_ADVISORY Policy Check,Status: ADVISORY_POSTED,Autonomy rule evaluation completed
STG-DEC-00018-06,DEC-00018,6,EXECUTE,2026-06-20 00:00:38,SKIPPED,Actuation Dispatch,Actuation command routed,Control payload delivered to terminal gateway
STG-DEC-00018-07,DEC-00018,7,VERIFY,2026-06-20 00:45:36,SKIPPED,Closed-Loop Recovery,Observed dwell delta reduction,Field telemetry feedback verified
STG-DEC-00018-08,DEC-00018,8,LOG,2026-06-20 00:45:43,COMPLETED,Audit Record Sealed,SHA-256 Digest Confirmed,Tamper-evident record sealed to immutable operational audit store
STG-DEC-00019-01,DEC-00019,1,SIGNAL,2026-06-20 07:59:50,COMPLETED,Trigger Received,Demand surge at PS10,Telemetry ingested from Smart Gate and SCADA DCS
STG-DEC-00019-02,DEC-00019,2,PREDICT,2026-06-20 07:59:59,COMPLETED,Predicted Dwell Blowout,77m turnaround (+12m above baseline SLA),Forecasted queue blowout with 91% confidence
STG-DEC-00019-03,DEC-00019,3,DIAGNOSE,2026-06-20 08:00:05,COMPLETED,Causal Attribution,Tank Recertification Hold,Bottleneck identified at PS10
STG-DEC-00019-04,DEC-00019,4,OPTIMIZE,2026-06-20 08:00:11,COMPLETED,Candidate Ranking,OPT-03 selected (Score 92/100),Evaluated candidate options for -9m recovery
STG-DEC-00019-05,DEC-00019,5,DECIDE,2026-06-20 08:00:17,COMPLETED,L3_APPROVAL_REQUIRED Policy Check,Status: APPROVED,Autonomy rule evaluation completed
STG-DEC-00019-06,DEC-00019,6,EXECUTE,2026-06-20 08:00:19,COMPLETED,Actuation Dispatch,Actuation command routed,Control payload delivered to terminal gateway
STG-DEC-00019-07,DEC-00019,7,VERIFY,2026-06-20 08:45:17,COMPLETED,Closed-Loop Recovery,Observed dwell delta reduction,Field telemetry feedback verified
STG-DEC-00019-08,DEC-00019,8,LOG,2026-06-20 08:45:24,COMPLETED,Audit Record Sealed,SHA-256 Digest Confirmed,Tamper-evident record sealed to immutable operational audit store
STG-DEC-00020-01,DEC-00020,1,SIGNAL,2026-06-21 04:59:54,COMPLETED,Trigger Received,Demand surge at PS10,Telemetry ingested from Smart Gate and SCADA DCS
STG-DEC-00020-02,DEC-00020,2,PREDICT,2026-06-21 05:00:03,COMPLETED,Predicted Dwell Blowout,77m turnaround (+12m above baseline SLA),Forecasted queue blowout with 91% confidence
STG-DEC-00020-03,DEC-00020,3,DIAGNOSE,2026-06-21 05:00:09,COMPLETED,Causal Attribution,Flow Meter Temperature Sensor Drift,Bottleneck identified at PS10
